epoch,lr,time,loss
0,0.001,00:13:07,1.476835798472166
1,0.001,00:13:07,0.7005017042160034
2,0.001,00:13:07,0.4678969219326973
3,0.001,00:13:08,0.39635483268648386
4,0.001,00:13:08,0.3557173376902938
5,0.001,00:13:08,0.31990188993513585
6,0.001,00:13:08,0.3039415251463652
7,0.001,00:13:08,0.2891422280110419
8,0.001,00:13:08,0.28510577920824287
9,0.001,00:13:09,0.26849235305562613
10,0.001,00:13:09,0.25628465656191113
11,0.001,00:13:09,0.24499595649540423
12,0.001,00:13:09,0.2577214175835252
13,0.001,00:13:09,0.23900635773316026
14,0.001,00:13:09,0.2213613168336451
15,0.001,00:13:10,0.2113797513768077
16,0.001,00:13:10,0.20109794149175286
17,0.001,00:13:10,0.1951334322337061
18,0.001,00:13:10,0.18535924321040512
19,0.001,00:13:10,0.1853492848575115
20,0.001,00:13:10,0.188769197370857
21,0.001,00:13:11,0.1765341408085078
22,0.001,00:13:11,0.1754742523189634
23,0.001,00:13:11,0.16832150830887257
24,0.001,00:13:11,0.17202871809713544
25,0.001,00:13:11,0.16568522728048266
26,0.001,00:13:11,0.15854623424820602
27,0.001,00:13:12,0.15875942963175477
28,0.001,00:13:12,0.15950070517137646
29,0.001,00:13:12,0.1620476356241852
30,0.001,00:13:12,0.15305167101323605
31,0.001,00:13:12,0.15606607552617788
32,0.001,00:13:12,0.14454940999858082
33,0.001,00:13:13,0.1484166829381138
34,0.001,00:13:13,0.14891338222660125
35,0.001,00:13:13,0.1437453075312078
36,0.001,00:13:13,0.13971634414047002
37,0.001,00:13:13,0.13715513991191983
38,0.001,00:13:13,0.14662818731740118
39,0.001,00:13:14,0.1380138468462974
40,0.001,00:13:14,0.13763301249127835
41,0.001,00:13:14,0.13943436169065535
42,0.001,00:13:14,0.1319559030700475
43,0.001,00:13:14,0.13357159988954664
44,0.001,00:13:14,0.12829483998939395
45,0.001,00:13:15,0.14392117969691753
46,0.001,00:13:15,0.13668558397330344
47,0.001,00:13:15,0.12824480016715825
48,0.001,00:13:15,0.12713953559286892
49,0.001,00:13:15,0.12827788174618035
50,0.001,00:13:15,0.12455358472652733
51,0.001,00:13:15,0.1244776766281575
52,0.001,00:13:16,0.12719106962904334
53,0.001,00:13:16,0.12178612304851413
54,0.001,00:13:16,0.1234623481053859
55,0.001,00:13:16,0.11763830813579261
