epoch,lr,time,loss
0,0.001,23:39:33,3.0104762140442345
1,8.5e-06,23:39:35,2.220086767393
2,1.7e-05,23:39:37,1.572937095866484
3,2.55e-05,23:39:39,1.1272631835411577
4,3.4e-05,23:39:41,1.0020411334493582
5,4.2499999999999996e-05,23:39:43,0.9317081903710085
6,5.1e-05,23:39:45,0.8788588463383562
7,5.9499999999999996e-05,23:39:46,0.8205816425821361
8,6.8e-05,23:39:48,0.7642358219360604
9,7.65e-05,23:39:50,0.6964609918787199
10,8.499999999999999e-05,23:39:52,0.6358103519853424
11,9.35e-05,23:39:54,0.600527811138069
12,0.000102,23:39:56,0.5654850507922032
13,0.00011049999999999999,23:39:57,0.5309802383622703
14,0.00011899999999999999,23:39:59,0.5060479925835834
15,0.00012749999999999998,23:40:01,0.47562437438789534
16,0.000136,23:40:03,0.4557044775608708
17,0.0001445,23:40:05,0.4450304644072757
18,0.000153,23:40:07,0.4274053364334738
19,0.0001615,23:40:09,0.4023727797629202
20,0.00016999999999999999,23:40:10,0.40180499610655446
21,0.0001785,23:40:12,0.39859262744293494
22,0.000187,23:40:14,0.377838850240497
23,0.00019549999999999998,23:40:16,0.38410993424408574
24,0.000204,23:40:18,0.3700713507611962
25,0.0002125,23:40:20,0.35868559920174237
26,0.00022099999999999998,23:40:21,0.35161751831936483
27,0.0002295,23:40:23,0.35391733570791345
28,0.00023799999999999998,23:40:25,0.33600995043183074
29,0.0002465,23:40:27,0.323792663128937
30,0.00025499999999999996,23:40:29,0.3252613379017395
31,0.0002635,23:40:31,0.3118671413291903
32,0.000272,23:40:32,0.3171407648855272
33,0.0002805,23:40:34,0.30989867898032947
34,0.000289,23:40:36,0.30375099932665334
35,0.00029749999999999997,23:40:38,0.3009315289776115
36,0.000306,23:40:40,0.29928753935896296
37,0.0003145,23:40:42,0.29294101011884566
38,0.000323,23:40:43,0.2995573350721422
39,0.0003315,23:40:45,0.29427735847147074
40,0.00033999999999999997,23:40:47,0.29124058432438793
41,0.00034849999999999996,23:40:49,0.2909512195517035
42,0.000357,23:40:51,0.3004124393577085
43,0.0003655,23:40:53,0.2925657655167229
44,0.000374,23:40:54,0.28764199717518163
45,0.0003825,23:40:56,0.28131646471207633
46,0.00039099999999999996,23:40:58,0.28826350680388074
47,0.0003995,23:41:00,0.2712967952932505
48,0.000408,23:41:02,0.2808615024037221
49,0.0004165,23:41:03,0.2789660886697033
50,0.000425,23:41:05,0.27299298543263883
51,0.00043349999999999997,23:41:07,0.26693532824078026
52,0.00044199999999999996,23:41:09,0.27994738311013756
53,0.0004505,23:41:11,0.27505325597217856
54,0.000459,23:41:13,0.2759724626975024
55,0.0004675,23:41:14,0.2830254438826266
56,0.00047599999999999997,23:41:16,0.28307925537228584
57,0.00048449999999999996,23:41:18,0.2754772048553123
58,0.000493,23:41:20,0.27631381762159224
59,0.0005015,23:41:22,0.2925996372804922
60,0.0005099999999999999,23:41:24,0.2685213554650545
61,0.0005185,23:41:25,0.27405578725259094
62,0.000527,23:41:27,0.27190419839804664
